Point,DATE,LHS_RMS,80th_LHS_RMS,delta_LHS,RHS_RMS,80th_RHS_RMS,delta_RHS,Remarks
ADM51,2020-10-09,2.661545973225874,2.8693622559999996,0.20781628277412567,3.2089092218972755,3.463912962,0.25500374010272475,
ADM51,2020-10-10,2.532578615595363,2.731472494,0.19889387840463701,3.062415403579098,3.281590936,0.21917553242090237,
ADM51,2020-10-11,2.5566513569725813,2.744110062,0.18745870502741857,3.058561047293842,3.235731744,0.17717069670615837,
ADM51,2020-10-12,2.6193583298951957,2.857642558,0.23828422810480454,3.148294274224984,3.379175996,0.23088172177501587,
ADM51,2020-10-13,2.5546634653022386,2.747405054,0.19274158869776148,3.004023090160084,3.244927928,0.24090483783991612,
ADM51,2020-10-14,2.6971784577494096,2.935840514,0.23866205625059056,3.174962563005428,3.392939804,0.21797724099457216,
ADM51,2020-10-15,2.631369317909128,2.861646364,0.23027704609087163,3.0491909914756152,3.3045048240000003,0.2553138325243851,
ADM51,2020-10-16,2.6885378701383447,2.9355255160000002,0.24698764586165556,3.1880382349878076,3.4292198640000002,0.24118162901219264,
ADM51,2020-10-17,2.5873963715385395,2.7589303480000003,0.17153397646146074,3.0043915181216008,3.2281471720000003,0.22375565387839957,
ADM51,2020-10-18,2.5606173694077725,2.741131736,0.1805143665922273,3.0325330215845034,3.2248730199999995,0.1923399984154961,
ADM51,2020-10-19,2.6327947709734825,2.8392282,0.2064334290265175,3.166100439441167,3.407737686,0.24163724655883279,
ADM51,2020-10-20,2.673700738787737,2.901176882,0.22747614321226317,3.2341771016245207,3.4568519160000006,0.22267481437547998,
ADM51,2020-10-21,2.7337344555731247,2.961363556,0.22762910042687512,3.287457503988307,3.49224405,0.2047865460116931,
ADM51,2020-10-22,2.6849463594838143,2.926053714,0.2411073545161857,3.1676180222578054,3.4399966280000003,0.27237860574219486,
ADM51,2020-10-23,2.752786796295366,2.966522168,0.21373537170463397,3.2535773915163935,3.48399391,0.23041651848360667,
ADM51,2020-10-24,2.5592772149631755,2.76121831,0.20194109503682434,3.061428243461242,3.28748751,0.22605926653875796,
ADM51,2020-10-25,2.5954575696549043,2.78240776,0.18695019034509563,3.010673337652591,3.25564933,0.24497599234740886,
ADM51,2020-10-26,2.598684769840233,2.74693179,0.1482470201597672,2.97429833235054,3.18039918,0.20610084764946013,
ADM51,2020-10-27,2.7796752830522085,2.989096256,0.20942097294779138,3.18506108542728,3.437067462,0.25200637657271985,
ADM51,2020-10-28,2.7549277065706796,3.020120904,0.26519319742932046,3.1404076997148604,3.35180044,0.21139274028513944,
ADM51,2020-10-29,2.920652609793946,3.068839122,0.14818651220605394,3.252337736566796,3.463756466,0.21141872943320417,
ADM51,2020-10-30,2.8080193113527168,3.059800912,0.2517816006472833,3.104058186096906,3.36301398,0.25895579390309376,
